NRIC,name,date_of_birth,car_preference_brand,car_preference_model,has_driving_license
T9135792L,Loh Wei Ting,1983-09-09,Hyundai,Venue,TRUE
F7913579M,Vivian Yeo,1975-05-23,Volkswagen,Beetle,TRUE
G5791360N,Jeffrey Tan,1994-01-06,Audi,A5,FALSE
S0987654O,Zarina bte Kamal,1956-09-20,Subaru,BRZ,TRUE
T2468135P,Nicholas Lim,1980-05-13,Mazda,CX-3,TRUE
S8901234H,Pang Kim Swee,1970-04-06,Toyota,Harrier,TRUE
T4567890I,Chew Hui Ling,1997-12-21,Honda,City,FALSE
F6789012J,Ng Boon Kiat,1963-11-03,Mercedes-Benz,A-Class,TRUE
G9135792K,Teo Siew Lian,1988-07-30,BMW,2 Series,TRUE
S5678901L,Maniam s/o Pillai,2001-03-18,Nissan,Sylphy,FALSE
T0247135M,Yeo Pei Shan,1984-10-14,Hyundai,i30,TRUE
F8024713N,Wendy Goh,1973-06-01,Volkswagen,Golf GTI,TRUE
G6802472O,Daniel Lee,1996-02-25,Audi,A1,FALSE
S1234567P,Halimah bte Yacob,1955-10-08,Subaru,Ascent,TRUE
T3579136Q,Ong Soon Hock,1978-08-29,Mazda,Biante,TRUE
S9012345I,Seah Li Ting,1976-07-22,Toyota,C-HR,TRUE
T5678901J,Kwa Kim Choo,1995-03-02,Honda,BR-V,FALSE
F7890123K,Yeo See Thong,1961-11-16,Mercedes-Benz,B-Class,TRUE
G0135792L,Lim Siang Huat,1986-09-12,BMW,1 Series,TRUE
S6789012M,Govind s/o Swami,2000-05-09,Nissan,Leaf,FALSE
T2468135N,Tan Mei Ling,1982-01-05,Hyundai,Accent,TRUE
F9135792O,Rachel Tan,1970-09-23,Volkswagen,Scirocco,TRUE
G7913579P,Kenneth Wong,1993-05-16,Audi,TT,FALSE
S4567890L,Aminah bte Salim,1954-01-30,Subaru,Tribeca,TRUE
T6802471M,David Lee,1977-09-06,Mazda,Premacy,TRUE
S2345678J,Quek Soon Hock,1974-08-01,Toyota,Wish,TRUE
T8901234K,Goh Chok Tong,1994-04-17,Honda,Stream,FALSE
F1234567L,Lee Hsien Loong,1962-12-04,Mercedes-Benz,E-Class,TRUE
G3579136M,Low Thia Khiang,1987-07-13,BMW,5 Series,TRUE
